x,y,z,yaw
-73.51111602783203,-25.310930252075195,-34.28938293457031,1.5184663534164429
-73.5201416015625,-25.317062377929688,-34.298831939697266,1.5184504985809326
-73.52767944335938,-25.32308006286621,-34.304161071777344,1.5183881521224976
-73.53468322753906,-25.323915481567383,-34.30978012084961,1.5182727575302124
-73.54829406738281,-25.330379486083984,-34.32010269165039,1.518168330192566
-73.56440734863281,-25.333694458007812,-34.33202362060547,1.5179941654205322
-73.57579803466797,-25.336938858032227,-34.34260559082031,1.5178089141845703
-73.59123992919922,-25.33500862121582,-34.354248046875,1.5175974369049072
-73.6081771850586,-25.33363914489746,-34.36469650268555,1.5173237323760986
-73.62580871582031,-25.335115432739258,-34.3758430480957,1.5170159339904785
-73.64305877685547,-25.33714485168457,-34.39152526855469,1.5167289972305298
-73.6618881225586,-25.333534240722656,-34.40212631225586,1.5163906812667847
-73.67813873291016,-25.332637786865234,-34.418861389160156,1.51606285572052
-73.69561004638672,-25.33173179626465,-34.43146896362305,1.515721321105957
-73.71552276611328,-25.32939338684082,-34.44392013549805,1.5153478384017944
-73.72946166992188,-25.32646942138672,-34.454933166503906,1.5150331258773804
-73.7434310913086,-25.32198715209961,-34.464622497558594,1.5147110223770142
-73.75708770751953,-25.317867279052734,-34.480224609375,1.5143364667892456
-73.77516174316406,-25.318546295166016,-34.49015426635742,1.5139374732971191
-73.80149841308594,-25.323802947998047,-34.51394271850586,1.5134810209274292
-73.84048461914062,-25.334880828857422,-34.54340744018555,1.5128849744796753
-73.87776184082031,-25.34945297241211,-34.5758056640625,1.5122246742248535
-73.91918182373047,-25.363866806030273,-34.61014938354492,1.511518120765686
-73.96757507324219,-25.380802154541016,-34.650386810302734,1.5106656551361084
-74.01856231689453,-25.411283493041992,-34.696224212646484,1.5097886323928833
-74.05487060546875,-25.432817459106445,-34.733428955078125,1.5088768005371094
-74.08618927001953,-25.460363388061523,-34.76923751831055,1.5080362558364868
-74.10538482666016,-25.493295669555664,-34.80094909667969,1.5072276592254639
-74.11373138427734,-25.52524185180664,-34.82695388793945,1.5064908266067505
-74.11831665039062,-25.562524795532227,-34.85310745239258,1.5057852268218994
-74.10652160644531,-25.598485946655273,-34.8729362487793,1.505146861076355
-74.0872573852539,-25.638362884521484,-34.89107894897461,1.5046520233154297
-74.0556411743164,-25.68577766418457,-34.90753936767578,1.504299521446228
-74.00263214111328,-25.725223541259766,-34.91194534301758,1.504093050956726
-73.92626190185547,-25.762569427490234,-34.908714294433594,1.504175066947937
-73.83061218261719,-25.807655334472656,-34.89669418334961,1.5045942068099976
-73.70680236816406,-25.847227096557617,-34.87498092651367,1.5052818059921265
-73.56083679199219,-25.888944625854492,-34.847381591796875,1.50627863407135
-73.39432525634766,-25.93241310119629,-34.80653381347656,1.507534146308899
-73.22527313232422,-25.988069534301758,-34.771812438964844,1.5088757276535034
-73.06563568115234,-26.052846908569336,-34.744285583496094,1.510193109512329
-72.90011596679688,-26.128921508789062,-34.718570709228516,1.5116431713104248
-72.73539733886719,-26.21156883239746,-34.701351165771484,1.5131816864013672
-72.57940673828125,-26.300308227539062,-34.699588775634766,1.514728307723999
-72.42041778564453,-26.39513397216797,-34.69830322265625,1.5163750648498535
-72.26364135742188,-26.490299224853516,-34.695804595947266,1.5181277990341187
-72.09663391113281,-26.581220626831055,-34.6904411315918,1.520019292831421
-71.93310546875,-26.683427810668945,-34.69470977783203,1.5220662355422974
-71.76642608642578,-26.78801727294922,-34.69716262817383,1.524209976196289
-71.60740661621094,-26.903827667236328,-34.70840072631836,1.526442050933838
-71.45600128173828,-27.027347564697266,-34.72605514526367,1.5286344289779663
-71.30174255371094,-27.14896011352539,-34.74449920654297,1.5309077501296997
-71.12606048583984,-27.262556076049805,-34.75080108642578,1.5334336757659912
-70.94416809082031,-27.37931251525879,-34.75593566894531,1.5361089706420898
-70.75958251953125,-27.49767303466797,-34.7584342956543,1.538813591003418
-70.56175231933594,-27.61393165588379,-34.75891876220703,1.5414865016937256
-70.35921478271484,-27.73587989807129,-34.7627067565918,1.5441325902938843
-70.15164947509766,-27.851285934448242,-34.761905670166016,1.5466923713684082
-69.94705200195312,-27.973783493041992,-34.76609802246094,1.5491979122161865
-69.7371826171875,-28.10004234313965,-34.77219772338867,1.5516297817230225
-69.52301025390625,-28.230562210083008,-34.780574798583984,1.5539546012878418
-69.32308197021484,-28.364990234375,-34.79331588745117,1.5559879541397095
-69.12671661376953,-28.50601577758789,-34.81795120239258,1.5577939748764038
-68.92699432373047,-28.643625259399414,-34.8427848815918,1.5594028234481812
-68.72968292236328,-28.784765243530273,-34.87295150756836,1.5608100891113281
-68.52774047851562,-28.928632736206055,-34.90834426879883,1.5621098279953003
-68.32356262207031,-29.068971633911133,-34.943580627441406,1.5632911920547485
-68.12238311767578,-29.221324920654297,-34.98666763305664,1.564388632774353
-67.92054748535156,-29.36893081665039,-35.04145431518555,1.565356731414795
-67.7229995727539,-29.51543617248535,-35.10251998901367,1.566245198249817
-67.52420806884766,-29.664003372192383,-35.16779708862305,1.5670688152313232
-67.3265380859375,-29.80554962158203,-35.245548248291016,1.5678410530090332
-67.11321258544922,-29.93540382385254,-35.31753921508789,1.5687850713729858
-66.87832641601562,-30.059898376464844,-35.38356399536133,1.5701159238815308
-66.62057495117188,-30.17197608947754,-35.447898864746094,1.571829915046692
-66.35108947753906,-30.262210845947266,-35.508358001708984,1.5737727880477905
-66.06761932373047,-30.348886489868164,-35.5511589050293,1.57601797580719
-65.7661361694336,-30.421201705932617,-35.58574676513672,1.5784991979599
-65.4495849609375,-30.491117477416992,-35.61553955078125,1.5813260078430176
-65.11764526367188,-30.561336517333984,-35.63593673706055,1.5844372510910034
-64.77432250976562,-30.62569808959961,-35.651893615722656,1.587854266166687
-64.41441345214844,-30.679100036621094,-35.65178680419922,1.5915278196334839
-64.04934692382812,-30.729536056518555,-35.65113830566406,1.5952993631362915
-63.68480682373047,-30.778728485107422,-35.64799880981445,1.5991134643554688
-63.319026947021484,-30.830181121826172,-35.643821716308594,1.6030722856521606
-62.947509765625,-30.879430770874023,-35.631290435791016,1.607190728187561
-62.57906723022461,-30.929195404052734,-35.61748504638672,1.611440658569336
-62.206825256347656,-30.981475830078125,-35.59797668457031,1.6158478260040283
-61.83820343017578,-31.03911590576172,-35.583744049072266,1.620397686958313
-61.47557067871094,-31.10154914855957,-35.56622314453125,1.6250275373458862
-61.12410354614258,-31.17217254638672,-35.55442810058594,1.6296820640563965
-60.79084777832031,-31.253999710083008,-35.550296783447266,1.6343028545379639
-60.47419738769531,-31.339365005493164,-35.55125045776367,1.638864278793335
-60.16303253173828,-31.4366455078125,-35.54949951171875,1.643553614616394
-59.8530387878418,-31.542646408081055,-35.55244445800781,1.6484706401824951
-59.55831527709961,-31.66179656982422,-35.5649299621582,1.6534923315048218
-59.28218460083008,-31.78766441345215,-35.594810485839844,1.6585959196090698
-59.010536193847656,-31.912368774414062,-35.616676330566406,1.6638644933700562
-58.7515869140625,-32.047855377197266,-35.64391326904297,1.669249415397644
-58.51655960083008,-32.198429107666016,-35.689430236816406,1.6745489835739136
-58.30198287963867,-32.35894012451172,-35.743934631347656,1.6796987056732178
-58.10817337036133,-32.53045654296875,-35.812889099121094,1.6847988367080688
-57.92637634277344,-32.70075988769531,-35.88699722290039,1.6899172067642212
-57.74930191040039,-32.86902618408203,-35.96030807495117,1.6951520442962646
-57.57404708862305,-33.037471771240234,-36.03428268432617,1.7005103826522827
-57.401798248291016,-33.212249755859375,-36.115238189697266,1.7059599161148071
-57.24432373046875,-33.38928985595703,-36.204017639160156,1.711211085319519
-57.095577239990234,-33.5718994140625,-36.30501937866211,1.7162635326385498
-56.94963073730469,-33.74309158325195,-36.40339279174805,1.7211799621582031
-56.80648422241211,-33.90884017944336,-36.49930953979492,1.7260353565216064
-56.66453170776367,-34.07722473144531,-36.5922966003418,1.7308483123779297
-56.526973724365234,-34.24156188964844,-36.695316314697266,1.7355773448944092
